2025-04-02 16:18:20,584 - INFO - Step 47: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:18:30,601 - INFO - Step 48: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:19:00,790 - INFO - Step 49: Action [2], Reward [0.0003], Episode 0, Trade Count 1
2025-04-02 16:19:05,942 - INFO - Step 50: Action [2], Reward [0.00023], Episode 0, Trade Count 1
2025-04-02 16:19:16,101 - INFO - Step 51: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:19:16,222 - INFO - Step 52: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-04-02 16:19:21,371 - INFO - Step 53: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:19:26,536 - INFO - Step 54: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:19:36,687 - INFO - Step 55: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:19:46,843 - INFO - Step 56: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:19:57,004 - INFO - Step 57: Action [1], Reward [0.0003], Episode 0, Trade Count 1
2025-04-02 16:20:02,153 - INFO - Step 58: Action [1], Reward [0.0003], Episode 0, Trade Count 1
2025-04-02 16:20:17,332 - INFO - Step 59: Action [2], Reward [0.0003], Episode 0, Trade Count 1
2025-04-02 16:20:17,341 - INFO - Step 60: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:20:27,357 - INFO - Step 61: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:20:37,479 - INFO - Step 62: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-04-02 16:20:57,661 - INFO - Step 63: Action [1], Reward [0.0003], Episode 0, Trade Count 1
2025-04-02 16:21:02,817 - INFO - Step 64: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:21:22,988 - INFO - Step 65: Action [1], Reward [0.0003], Episode 0, Trade Count 1
2025-04-02 16:21:38,153 - INFO - Step 66: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:21:48,307 - INFO - Step 67: Action [1], Reward [0.0003], Episode 0, Trade Count 1
2025-04-02 16:21:48,320 - INFO - Step 68: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:21:58,450 - INFO - Step 69: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-04-02 16:22:18,620 - INFO - Step 70: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:22:28,279 - INFO - Step 0: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:22:28,775 - INFO - Step 71: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
